Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link 
Digitonthophagus gazella,Digitonthophagus gazella: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,624.57,GSF1556-6-Dgaz-small_S3_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782568,https://www.ncbi.nlm.nih.gov/sra/SRX7782568[accn]
Digitonthophagus gazella,Digitonthophagus gazella: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,676.27,GSF1556-20-Dgaz-large_S12_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782559,https://www.ncbi.nlm.nih.gov/sra/SRX7782559[accn]
Digitonthophagus gazella,Digitonthophagus gazella: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,618.22,GSF1556-19-Dgaz-large_S11_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782558,https://www.ncbi.nlm.nih.gov/sra/SRX7782558[accn]
Digitonthophagus gazella,Digitonthophagus gazella: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,751.96,GSF1556-2-Dgaz-small_S2_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782557,https://www.ncbi.nlm.nih.gov/sra/SRX7782557[accn]
Digitonthophagus gazella,Digitonthophagus gazella: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,568.86,GSF1556-1-Dgaz-small_S1_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782556,https://www.ncbi.nlm.nih.gov/sra/SRX7782556[accn]
Drepanopodus proximus,DreproSTL10001,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),143.71,S3912,Targeted-Capture,GENOMIC,SRX22207642,https://www.ncbi.nlm.nih.gov/sra/SRX22207642[accn]
Epilissus cuprarius,EpcupSTL5011,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),126.39,S3944,Targeted-Capture,GENOMIC,SRX22207644,https://www.ncbi.nlm.nih.gov/sra/SRX22207644[accn]
Epirinus cf. silvestris,EpsilSTL10018,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),335.79,S3914,Targeted-Capture,GENOMIC,SRX22207646,https://www.ncbi.nlm.nih.gov/sra/SRX22207646[accn]
Epirinus sp.,Epir1STL43,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),153.37,S687,Targeted-Capture,GENOMIC,SRX22207645,https://www.ncbi.nlm.nih.gov/sra/SRX22207645[accn]
Euoniticellus fulvus,Raw reads from transcriptome sequencing of Euoniticellus fulvus,Zoological Research Museum Alexander Koenig,Transcriptome-based phylogeny of Scarabaeoidea,1293.19,ZFMK-DA-RNAL69,RNA-Seq,TRANSCRIPTOMIC,SRX19356006,https://www.ncbi.nlm.nih.gov/sra/SRX19356006[accn]
Euoniticellus sp.,Euon1COL1279,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),675.85,S4056,Targeted-Capture,GENOMIC,SRX22207647,https://www.ncbi.nlm.nih.gov/sra/SRX22207647[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus ??: 1175_138,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.29,1175_138,RAD-Seq,GENOMIC,SRX7817024,https://www.ncbi.nlm.nih.gov/sra/SRX7817024[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus ??: 1175_137,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.59,1175_137,RAD-Seq,GENOMIC,SRX7817022,https://www.ncbi.nlm.nih.gov/sra/SRX7817022[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1175_141,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,18.27,1175_141,RAD-Seq,GENOMIC,SRX7817021,https://www.ncbi.nlm.nih.gov/sra/SRX7817021[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1175_140,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.95,1175_140,RAD-Seq,GENOMIC,SRX7817020,https://www.ncbi.nlm.nih.gov/sra/SRX7817020[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1175_139,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.37,1175_139,RAD-Seq,GENOMIC,SRX7817019,https://www.ncbi.nlm.nih.gov/sra/SRX7817019[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_151,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.94,1050_151,RAD-Seq,GENOMIC,SRX7817018,https://www.ncbi.nlm.nih.gov/sra/SRX7817018[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_150,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,22.27,1050_150,RAD-Seq,GENOMIC,SRX7817017,https://www.ncbi.nlm.nih.gov/sra/SRX7817017[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_149,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,22.76,1050_149,RAD-Seq,GENOMIC,SRX7817016,https://www.ncbi.nlm.nih.gov/sra/SRX7817016[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_148,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,19.04,1050_148,RAD-Seq,GENOMIC,SRX7817015,https://www.ncbi.nlm.nih.gov/sra/SRX7817015[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_147,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.52,1050_147,RAD-Seq,GENOMIC,SRX7817014,https://www.ncbi.nlm.nih.gov/sra/SRX7817014[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_146,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,0.11,1050_146,RAD-Seq,GENOMIC,SRX7817013,https://www.ncbi.nlm.nih.gov/sra/SRX7817013[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_145,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.95,1050_145,RAD-Seq,GENOMIC,SRX7817011,https://www.ncbi.nlm.nih.gov/sra/SRX7817011[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_144,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,23.78,1050_144,RAD-Seq,GENOMIC,SRX7817010,https://www.ncbi.nlm.nih.gov/sra/SRX7817010[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_143,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.99,1050_143,RAD-Seq,GENOMIC,SRX7817009,https://www.ncbi.nlm.nih.gov/sra/SRX7817009[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 1050_142,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.73,1050_142,RAD-Seq,GENOMIC,SRX7817008,https://www.ncbi.nlm.nih.gov/sra/SRX7817008[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_161,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.57,925_161,RAD-Seq,GENOMIC,SRX7817007,https://www.ncbi.nlm.nih.gov/sra/SRX7817007[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_160,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.93,925_160,RAD-Seq,GENOMIC,SRX7817006,https://www.ncbi.nlm.nih.gov/sra/SRX7817006[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_159,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.48,925_159,RAD-Seq,GENOMIC,SRX7817005,https://www.ncbi.nlm.nih.gov/sra/SRX7817005[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_158,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.9,925_158,RAD-Seq,GENOMIC,SRX7817004,https://www.ncbi.nlm.nih.gov/sra/SRX7817004[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_157,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,23.39,925_157,RAD-Seq,GENOMIC,SRX7817003,https://www.ncbi.nlm.nih.gov/sra/SRX7817003[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_156,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.19,925_156,RAD-Seq,GENOMIC,SRX7817002,https://www.ncbi.nlm.nih.gov/sra/SRX7817002[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_155,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.02,925_155,RAD-Seq,GENOMIC,SRX7817000,https://www.ncbi.nlm.nih.gov/sra/SRX7817000[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_154,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.36,925_154,RAD-Seq,GENOMIC,SRX7816999,https://www.ncbi.nlm.nih.gov/sra/SRX7816999[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_153,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.6,925_153,RAD-Seq,GENOMIC,SRX7816998,https://www.ncbi.nlm.nih.gov/sra/SRX7816998[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 925_152,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,23.22,925_152,RAD-Seq,GENOMIC,SRX7816997,https://www.ncbi.nlm.nih.gov/sra/SRX7816997[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_168,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,33.95,800_168,RAD-Seq,GENOMIC,SRX7816986,https://www.ncbi.nlm.nih.gov/sra/SRX7816986[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_167,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,17.44,800_167,RAD-Seq,GENOMIC,SRX7816975,https://www.ncbi.nlm.nih.gov/sra/SRX7816975[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_166,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.96,800_166,RAD-Seq,GENOMIC,SRX7816964,https://www.ncbi.nlm.nih.gov/sra/SRX7816964[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_165,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,16.92,800_165,RAD-Seq,GENOMIC,SRX7816953,https://www.ncbi.nlm.nih.gov/sra/SRX7816953[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_164,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,33.82,800_164,RAD-Seq,GENOMIC,SRX7816942,https://www.ncbi.nlm.nih.gov/sra/SRX7816942[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_163,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,17.35,800_163,RAD-Seq,GENOMIC,SRX7816931,https://www.ncbi.nlm.nih.gov/sra/SRX7816931[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_171,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,0.08,800_171,RAD-Seq,GENOMIC,SRX7816828,https://www.ncbi.nlm.nih.gov/sra/SRX7816828[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_170,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.67,800_170,RAD-Seq,GENOMIC,SRX7816817,https://www.ncbi.nlm.nih.gov/sra/SRX7816817[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_169,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,17.84,800_169,RAD-Seq,GENOMIC,SRX7816806,https://www.ncbi.nlm.nih.gov/sra/SRX7816806[accn]
Eurysternus aff. 'floccosus' EL-2020,ddRADseq of Eurysternus affin flocossus: 800_162,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.91,800_162,RAD-Seq,GENOMIC,SRX7816797,https://www.ncbi.nlm.nih.gov/sra/SRX7816797[accn]
Frankenbergerius armatus,FrarmSTL10002,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),153.79,S3859,Targeted-Capture,GENOMIC,SRX22207648,https://www.ncbi.nlm.nih.gov/sra/SRX22207648[accn]
Gymnopleurus geoffroyi,GGD2_R1,Sangji University,"The complete mitochondrial genomes of two ball-rolling dung beetle species, Gymnopleurus mopsus (Pallas, 1781) and Gymnopleurus geoffroyi (Fuessly, 1775) (Coleoptera: Scarabaeidae: Scarabaeinae)",3212.6,GGD2_R1,WGS,GENOMIC,SRX22811226,https://www.ncbi.nlm.nih.gov/sra/SRX22811226[accn]
Gymnopleurus mopsus,Gmmt3_R1,Sangji University,Gymnopleurus mopsus Raw sequence reads,3626.92,Gmmt3_R1,WGS,GENOMIC,SRX22725257,https://www.ncbi.nlm.nih.gov/sra/SRX22725257[accn]
Gyronotus pumilus,GypumSTL10003,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),170.61,S3898,Targeted-Capture,GENOMIC,SRX22207651,https://www.ncbi.nlm.nih.gov/sra/SRX22207651[accn]
Hamonthophagus depressus,HadepSTL10013,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),475.53,S3861,Targeted-Capture,GENOMIC,SRX22207653,https://www.ncbi.nlm.nih.gov/sra/SRX22207653[accn]
Helictopleurus cf. furcicornis,A19FUSTL10332,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),65.71,S13758,Targeted-Capture,GENOMIC,SRX22207697,https://www.ncbi.nlm.nih.gov/sra/SRX22207697[accn]
Helictopleurus fasciolatus fasciolatus,A01FFSTL10324,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),242.37,S13937,Targeted-Capture,GENOMIC,SRX22207629,https://www.ncbi.nlm.nih.gov/sra/SRX22207629[accn]
Helictopleurus fasciolatus obscurus,A02FOSTL10334,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),570.82,S13741,Targeted-Capture,GENOMIC,SRX22207630,https://www.ncbi.nlm.nih.gov/sra/SRX22207630[accn]
Helictopleurus fasciolatus pseudofasciolatus,A03FPSTL10333,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),326.38,S13751,Targeted-Capture,GENOMIC,SRX22207641,https://www.ncbi.nlm.nih.gov/sra/SRX22207641[accn]
Helictopleurus neoamplicollis,HeneoSTL5024,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),858.25,S3808,Targeted-Capture,GENOMIC,SRX22207654,https://www.ncbi.nlm.nih.gov/sra/SRX22207654[accn]
Helictopleurus neuter,A05NESTL10327,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),502.46,S13858,Targeted-Capture,GENOMIC,SRX22207652,https://www.ncbi.nlm.nih.gov/sra/SRX22207652[accn]
Helictopleurus nicollei,A13NISTL10319,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),83.51,S13987,Targeted-Capture,GENOMIC,SRX22207685,https://www.ncbi.nlm.nih.gov/sra/SRX22207685[accn]
Helictopleurus perrieri,A17PESTL10329,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),204.27,S13849,Targeted-Capture,GENOMIC,SRX22207696,https://www.ncbi.nlm.nih.gov/sra/SRX22207696[accn]
Helictopleurus politicollis,HepolSTL5029,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),342.3,S3936,Targeted-Capture,GENOMIC,SRX22207655,https://www.ncbi.nlm.nih.gov/sra/SRX22207655[accn]
Helictopleurus sinuaticornis,A0651STL10330,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),347.04,S13791,Targeted-Capture,GENOMIC,SRX22207663,https://www.ncbi.nlm.nih.gov/sra/SRX22207663[accn]
Helictopleurus undatus,A11UNSTL10331,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),158.87,S13762,Targeted-Capture,GENOMIC,SRX22207674,https://www.ncbi.nlm.nih.gov/sra/SRX22207674[accn]
Heteronitis ragazzii,HeragSTL10032,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),471.54,S3894,Targeted-Capture,GENOMIC,SRX22207656,https://www.ncbi.nlm.nih.gov/sra/SRX22207656[accn]
Janssensantus cf. Inexpectatus,JaineSTL10221,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),342.84,S716,Targeted-Capture,GENOMIC,SRX22207659,https://www.ncbi.nlm.nih.gov/sra/SRX22207659[accn]
Kheper nigroaeneus,KhnigSTL10036,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),103.12,S3804,Targeted-Capture,GENOMIC,SRX22207660,https://www.ncbi.nlm.nih.gov/sra/SRX22207660[accn]
Lepanus ustulatus,LeustCOL3934,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),324.88,S3984,Targeted-Capture,GENOMIC,SRX22207664,https://www.ncbi.nlm.nih.gov/sra/SRX22207664[accn]
Litocopris muticus,LimutSTL10027,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),189.02,S3989,Targeted-Capture,GENOMIC,SRX22207665,https://www.ncbi.nlm.nih.gov/sra/SRX22207665[accn]
Metacatharsius opacus,MeopaSTL10017,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),172.8,S3928,Targeted-Capture,GENOMIC,SRX22207668,https://www.ncbi.nlm.nih.gov/sra/SRX22207668[accn]
Microcopris sp.,Micr1STL10023,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),190.28,S4064,Targeted-Capture,GENOMIC,SRX22207669,https://www.ncbi.nlm.nih.gov/sra/SRX22207669[accn]
Nanos bimaculatus,Nanos bimaculatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,1356.31,,RNA-Seq,TRANSCRIPTOMIC,SRX1617320,https://www.ncbi.nlm.nih.gov/sra/SRX1617320[accn]
Nanos bimaculatus,Nanos bimaculatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,5220.33,,RNA-Seq,TRANSCRIPTOMIC,SRX1617319,https://www.ncbi.nlm.nih.gov/sra/SRX1617319[accn]
Nanos binotatus,Nanos binotatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,3925.67,,RNA-Seq,TRANSCRIPTOMIC,SRX1617478,https://www.ncbi.nlm.nih.gov/sra/SRX1617478[accn]
Nanos dubitatus,NadubSTL5001,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),170.56,S3922,Targeted-Capture,GENOMIC,SRX22207670,https://www.ncbi.nlm.nih.gov/sra/SRX22207670[accn]
Nanos dubitatus,Nanos dubitatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,5278.44,,RNA-Seq,TRANSCRIPTOMIC,SRX1619035,https://www.ncbi.nlm.nih.gov/sra/SRX1619035[accn]
Nanos dubitatus,Nanos dubitatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,6422.95,,RNA-Seq,TRANSCRIPTOMIC,SRX1619030,https://www.ncbi.nlm.nih.gov/sra/SRX1619030[accn]
Nanos dubitatus,Nanos dubitatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,3900.42,,RNA-Seq,TRANSCRIPTOMIC,SRX1617557,https://www.ncbi.nlm.nih.gov/sra/SRX1617557[accn]
Nanos dubitatus,Nanos dubitatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,4663.96,,RNA-Seq,TRANSCRIPTOMIC,SRX1617532,https://www.ncbi.nlm.nih.gov/sra/SRX1617532[accn]
Nanos dubitatus,Nanos dubitatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,4150.13,,RNA-Seq,TRANSCRIPTOMIC,SRX1617477,https://www.ncbi.nlm.nih.gov/sra/SRX1617477[accn]
Nanos dubitatus,nanos dubitatus transcriptome,University of Helsinki,Nanos beetle transcriptomes,5455.58,,RNA-Seq,TRANSCRIPTOMIC,SRX1615442,https://www.ncbi.nlm.nih.gov/sra/SRX1615442[accn]
Nanos manomboensis,Nanos manomboensis transcriptome,University of Helsinki,Nanos beetle transcriptomes,1533.45,,RNA-Seq,TRANSCRIPTOMIC,SRX1619089,https://www.ncbi.nlm.nih.gov/sra/SRX1619089[accn]
Nanos manomboensis,Nanos manomboensis transcriptome,University of Helsinki,Nanos beetle transcriptomes,2255.59,,RNA-Seq,TRANSCRIPTOMIC,SRX1619078,https://www.ncbi.nlm.nih.gov/sra/SRX1619078[accn]
Nanos mirjae,Nanos mirjae transcriptome,University of Helsinki,Nanos beetle transcriptomes,3020.82,,RNA-Seq,TRANSCRIPTOMIC,SRX1619033,https://www.ncbi.nlm.nih.gov/sra/SRX1619033[accn]
Nanos nitens,Nanos nitens transcriptome,University of Helsinki,Nanos beetle transcriptomes,5296.06,,RNA-Seq,TRANSCRIPTOMIC,SRX1617315,https://www.ncbi.nlm.nih.gov/sra/SRX1617315[accn]
Nanos pseudoviettei,Nanos pseudoviettei transcriptome,University of Helsinki,Nanos beetle transcriptomes,5261.37,,RNA-Seq,TRANSCRIPTOMIC,SRX1617403,https://www.ncbi.nlm.nih.gov/sra/SRX1617403[accn]
Nanos pseudoviettei,Nanos pseudoviettei transcriptome,University of Helsinki,Nanos beetle transcriptomes,4102.67,,RNA-Seq,TRANSCRIPTOMIC,SRX1617402,https://www.ncbi.nlm.nih.gov/sra/SRX1617402[accn]
Nanos vadoni,Nanos vadoni transcriptome,University of Helsinki,Nanos beetle transcriptomes,4033.32,,RNA-Seq,TRANSCRIPTOMIC,SRX1619034,https://www.ncbi.nlm.nih.gov/sra/SRX1619034[accn]
Nanos vadoni,Nanos vadoni transcriptome,University of Helsinki,Nanos beetle transcriptomes,5132.5,,RNA-Seq,TRANSCRIPTOMIC,SRX1617479,https://www.ncbi.nlm.nih.gov/sra/SRX1617479[accn]
Nanos vadoni,Nanos vadoni transcriptome,University of Helsinki,Nanos beetle transcriptomes,4481.96,,RNA-Seq,TRANSCRIPTOMIC,SRX1617317,https://www.ncbi.nlm.nih.gov/sra/SRX1617317[accn]
Nanos viettei,Nanos viettei transcriptome,University of Helsinki,Nanos beetle transcriptomes,5600.43,,RNA-Seq,TRANSCRIPTOMIC,SRX1619039,https://www.ncbi.nlm.nih.gov/sra/SRX1619039[accn]
Nanos viettei,Nanos viettei transcriptome,University of Helsinki,Nanos beetle transcriptomes,7784.16,,RNA-Seq,TRANSCRIPTOMIC,SRX1619038,https://www.ncbi.nlm.nih.gov/sra/SRX1619038[accn]
Nanos viettei,Nanos viettei transcriptome,University of Helsinki,Nanos beetle transcriptomes,1184.18,,RNA-Seq,TRANSCRIPTOMIC,SRX1617475,https://www.ncbi.nlm.nih.gov/sra/SRX1617475[accn]
Nanos viettei,Nanos viettei transcriptome,University of Helsinki,Nanos beetle transcriptomes,3973.69,,RNA-Seq,TRANSCRIPTOMIC,SRX1617405,https://www.ncbi.nlm.nih.gov/sra/SRX1617405[accn]
Neosisyphus barbarossa,Sibar_STL8,University of Helsinki,Sisyphini Raw sequence reads,213.1,Sbar_1,Targeted-Capture,GENOMIC,SRX23990348,https://www.ncbi.nlm.nih.gov/sra/SRX23990348[accn]
Neosisyphus calcaratus,Sical_STL7,University of Helsinki,Sisyphini Raw sequence reads,208.83,Scal_1,Targeted-Capture,GENOMIC,SRX23990332,https://www.ncbi.nlm.nih.gov/sra/SRX23990332[accn]
Neosisyphus infuscatus,Siinf_STL14,University of Helsinki,Sisyphini Raw sequence reads,99.89,Sinf_1,Targeted-Capture,GENOMIC,SRX23990331,https://www.ncbi.nlm.nih.gov/sra/SRX23990331[accn]
Neosisyphus mirabilis,Simir_STL11,University of Helsinki,Sisyphini Raw sequence reads,143.9,Smir_1,Targeted-Capture,GENOMIC,SRX23990334,https://www.ncbi.nlm.nih.gov/sra/SRX23990334[accn]
Neosisyphus rubrus,Sirub_STL12,University of Helsinki,Sisyphini Raw sequence reads,277.61,Srub_1,Targeted-Capture,GENOMIC,SRX23990333,https://www.ncbi.nlm.nih.gov/sra/SRX23990333[accn]
Neosisyphus spinipes,Sispi_STL17,University of Helsinki,Sisyphini Raw sequence reads,250.58,Sspi_1,Targeted-Capture,GENOMIC,SRX23990349,https://www.ncbi.nlm.nih.gov/sra/SRX23990349[accn]
Nesosisyphus pygmaeus,Nepyg_STL3,University of Helsinki,Sisyphini Raw sequence reads,165.99,Npyg_1,Targeted-Capture,GENOMIC,SRX23990341,https://www.ncbi.nlm.nih.gov/sra/SRX23990341[accn]
Nesosisyphus regnardi,Nereg_STL2,University of Helsinki,Sisyphini Raw sequence reads,99.31,Nreg_1,Targeted-Capture,GENOMIC,SRX23990330,https://www.ncbi.nlm.nih.gov/sra/SRX23990330[accn]
Nesosisyphus rotundatus,NrotSTL52,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),623.91,S14002,Targeted-Capture,GENOMIC,SRX22207671,https://www.ncbi.nlm.nih.gov/sra/SRX22207671[accn]
Nesosisyphus vicinus,Nevic_STL1,University of Helsinki,Sisyphini Raw sequence reads,289.43,Nvic_1,Targeted-Capture,GENOMIC,SRX23990329,https://www.ncbi.nlm.nih.gov/sra/SRX23990329[accn]
Onitis alexis,OnaleCOL069,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),735.52,S3884,Targeted-Capture,GENOMIC,SRX22207673,https://www.ncbi.nlm.nih.gov/sra/SRX22207673[accn]
